genome       	n_genes_called 	n_genes_mapped 	n_contigs 	taxonomic_level 	proportion_genes_retained_in_major_clades 	genes_retained_index 	clade_separation_score 	contamination_portion 	n_effective_surplus_clades 	mean_hit_identity 	reference_representation_score 	pass.GUNCNC_008204_1	89	51	1	kingdom	1.0	0.57	0	0.0	0.0	0.52	0.3	True
NC_008204_1	89	51	1	kingdom	1.0	0.57	0	0.0	0.0	0.52	0.3	True
NC_014826_1	20	14	1	kingdom	1.0	0.7	0	0.0	0.0	0.54	0.38	True
NC_014563_1	165	152	1	kingdom	1.0	0.92	0	0.0	0.0	0.78	0.72	True
NC_013062_1	2524	2470	1	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.96	True
NC_012133_1	38	33	1	kingdom	1.0	0.87	0	0.0	0.0	0.55	0.47	True
NC_002942_5	3048	2997	1	kingdom	1.0	0.98	0.0	0.0	0.0	0.99	0.97	True
NC_002022_1	1	1	1	kingdom	nan	nan	nan	nan	nan	nan	nan	nan
NC_001586_1	7	0	0	kingdom	nan	nan	nan	nan	nan	nan	nan	nan
NC_003774_1	1	0	0	kingdom	nan	nan	nan	nan	nan	nan	nan	nan
NC_001511_1	6	1	1	kingdom	nan	nan	nan	nan	nan	nan	nan	nan
NC_008726_1	6121	6064	1	kingdom	1.0	0.99	0	0.0	0.0	0.98	0.98	True
NC_002371_2	66	61	1	kingdom	1.0	0.92	0	0.0	0.0	0.82	0.76	True
NC_008598_1	82	65	1	kingdom	1.0	0.79	0	0.0	0.0	0.6	0.48	True
NC_008169_1	3	1	1	kingdom	nan	nan	nan	nan	nan	nan	nan	nan
NC_003524_1	52	40	1	kingdom	1.0	0.77	0	0.0	0.0	0.61	0.47	True
NC_010530_1	2207	2160	1	kingdom	1.0	0.98	0.0	0.0	0.0	0.91	0.89	True
NC_013691_1	113	33	1	kingdom	1.0	0.29	0	0.0	0.0	0.46	0.13	True
NC_004559_1	3	1	1	kingdom	nan	nan	nan	nan	nan	nan	nan	nan
NC_007434_1	3570	3459	1	kingdom	1.0	0.97	0.0	0.0	0.0	0.97	0.94	True
NC_001505_2	4	0	0	kingdom	nan	nan	nan	nan	nan	nan	nan	nan
NC_001886_1	1	0	0	kingdom	nan	nan	nan	nan	nan	nan	nan	nan
NC_007646_1	79	7	1	kingdom	nan	nan	nan	nan	nan	nan	nan	nan
NC_002691_1	1	0	0	kingdom	nan	nan	nan	nan	nan	nan	nan	nan
NC_004313_1	57	57	1	kingdom	1.0	1.0	0	0.0	0.0	0.87	0.87	True
NC_014023_1	169	153	1	kingdom	1.0	0.91	0	0.0	0.0	0.68	0.62	True
NC_009800_1	4330	4311	1	kingdom	1.0	1.0	0.0	0.0	0.0	0.98	0.98	True
NC_006560_1	87	7	1	kingdom	nan	nan	nan	nan	nan	nan	nan	nan
NC_002020_1	1	0	0	kingdom	nan	nan	nan	nan	nan	nan	nan	nan
NC_014144_1	63	43	1	kingdom	1.0	0.68	0	0.0	0.0	0.57	0.39	True
NC_014479_1	3992	3946	1	kingdom	1.0	0.99	0.0	0.0	0.0	0.96	0.95	True
NC_010672_1	9	7	1	kingdom	nan	nan	nan	nan	nan	nan	nan	nan
NC_001718_1	2	1	1	kingdom	nan	nan	nan	nan	nan	nan	nan	nan
NC_008542_1	3141	3103	1	kingdom	1.0	0.99	0.0	0.0	0.0	0.93	0.91	True
NC_002036_1	5	1	1	kingdom	nan	nan	nan	nan	nan	nan	nan	nan
NC_002655_2	5313	5295	1	kingdom	1.0	1.0	0.0	0.0	0.0	0.99	0.99	True
NC_011668_1	64	52	1	kingdom	1.0	0.81	0	0.0	0.0	0.63	0.51	True
NC_010002_1	6142	6025	1	kingdom	1.0	0.98	0	0.0	0.0	0.98	0.97	True
NC_004914_3	93	90	1	kingdom	1.0	0.97	0	0.0	0.0	0.98	0.95	True
NC_013385_1	2171	2154	1	kingdom	1.0	0.99	0.0	0.0	0.0	0.97	0.97	True
NC_009554_1	54	33	1	kingdom	1.0	0.61	0	0.0	0.0	0.49	0.3	True
NC_002667_1	57	46	1	kingdom	1.0	0.81	0	0.0	0.0	0.77	0.62	True
NC_011251_1	54	51	1	kingdom	1.0	0.94	0	0.0	0.0	0.78	0.73	True
NC_006879_1	32	5	1	kingdom	nan	nan	nan	nan	nan	nan	nan	nan
NC_001706_1	37	9	1	kingdom	nan	nan	nan	nan	nan	nan	nan	nan
NC_000903_1	7	0	0	kingdom	nan	nan	nan	nan	nan	nan	nan	nan
